"VAR2","VAR3","SPCD","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood Volume","ST_WD_CV_MER","371",2727,16.6656032269894,5,38.6,6.73701178918662,13.9905089595556,-0.504606032409913,0.947494555873573,4.44539796699198,9.79270667727385,0.321224037183391,6.75465109469059,0.973978265928959
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","371",2864,16.4144902234637,5,38.6,7.51796320681133,14.0288968707641,-0.435361493246636,1.26315033391186,4.88577718548078,9.73955030125359,0.358380002928274,7.52924802699012,0.975135382410768
"Stump Bark Volume","SP_BK_CV","371",2782,16.3630841121495,1.3,38.6,0.135677100783456,83.0048029400324,0.0771586333393811,43.4557137454268,0.103778181139834,50.4951457126246,0.00709017048512511,0.156061249047552,0.284841282282291
"Stump Wood Volume","SP_WD_CV","371",2919,16.2231243576567,1.3,39,0.722844474762636,27.9848353365732,0.24797321450704,14.2122768377669,0.487705941308802,24.3248309863621,0.0368441516267541,0.764078431009495,0.721502884663074
"Stump Wood+Bark Volume","SP_WDBK_CV","371",2942,16.087321549966,1.3,38.6,0.79940116930834,27.3335710160074,0.312000850453197,15.1588129666718,0.552423029388113,24.5007049356668,0.0409033694596606,0.858003232299753,0.710414393325196
"Total Stem Bark Volume","ST_BK_CV_TOT","371",2790,16.3481003584229,1.1,38.6,2.29961834958925,34.7910455018441,0.0284786203944408,8.25693436521116,1.41626424435348,22.3539309090028,0.105146713603057,2.29938256004339,0.877340032485428
"Total Stem Wood Volume","ST_WD_CV_TOT","371",2927,16.2092244619064,1.1,39,6.99739120294635,13.1618598639495,0.0502834244019081,1.43632478572627,4.39975339649876,9.43668221943705,0.3258121553683,6.99637648039376,0.973933729501523
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","371",2950,16.0738983050847,1.1,38.6,7.42692615968301,12.6198700750987,-0.0226743467542999,1.49800662597876,4.73162075607812,8.96146042676734,0.353091585726438,7.42570187003069,0.97727395944028
"Merch Stem Bark Volume","ST_BK_CV_MER","541",651,12.8417818740399,5,35.2,3.08984648646269,65.3200515636513,-0.0540054719939994,19.3881986302091,1.83053000622587,39.9277664845906,0.168381087093198,3.08794471095515,0.654812418982423
"Merch Stem Wood Volume","ST_WD_CV_MER","541",669,12.8627802690583,5,35.2,5.38880070807874,15.3612711479492,-0.0157936723819332,2.61812357412859,3.08932953772084,11.0872375037429,0.28750507155426,5.38479485921191,0.965016893404159
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","541",683,12.8531478770132,5,35.2,6.01162069403016,14.5183140390449,0.0739699272061136,2.68375894283511,3.50659283602817,10.6377029608335,0.319319780734008,6.00767358572566,0.968933826778011
"Sawlog Bark Volume","ST_BK_CV_SAW","541",395,15.8235443037975,11,35.2,3.66773083849165,74.6938370097349,-0.0551633025044974,20.0606956333038,2.40557842111251,44.1525289353393,0.187840113197415,3.66350053442177,0.518559021869523
"Sawlog Wood Volume","ST_WD_CV_SAW","541",398,15.8042713567839,11,35.2,7.28253980660992,19.1126524942931,-0.85735637714561,0.718889209578854,4.82889549690313,13.204941780165,0.38024621394054,7.32374161569817,0.937566827512076
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","541",415,15.8371084337349,11,35.2,8.20463221896675,18.9963906647667,-0.759742598553386,0.769224943631449,5.6972033099815,13.3277850609004,0.43069816639731,8.22988404900759,0.943507642662887
"Stump Bark Volume","SP_BK_CV","541",714,12.0177871148459,1.1,35.2,0.0968851662694837,71.2464754270072,0.0406373766078388,40.8055160157208,0.0652108721425611,48.2176792938115,0.00602286883347324,0.104999929201582,0.435077749061286
"Stump Wood Volume","SP_WD_CV","541",774,12.2434108527132,1.1,35.2,0.318734587445009,21.516920754329,-0.0411792911255438,4.61611446089101,0.185544733969181,16.2566558208547,0.0188020589190058,0.321179413687864,0.919526939585841
"Stump Wood+Bark Volume","SP_WDBK_CV","541",756,11.972619047619,1.1,35.2,0.336061715389501,19.7114422040838,-0.00261276462211579,7.29075384488571,0.191875903803252,15.7478928949196,0.0194233524029965,0.335849542046746,0.930790622862051
"Total Stem Bark Volume","ST_BK_CV_TOT","541",714,12.0177871148459,1.1,35.2,3.0280390141137,62.3663595296948,-0.0118749117436792,20.5998508149729,1.72601309013313,39.0249268194839,0.165896884953099,3.02594109649182,0.686723338789007
"Total Stem Wood Volume","ST_WD_CV_TOT","541",775,12.2478709677419,1.1,35.2,5.23216058010458,13.948535843871,0.0345328700529985,2.6784717291934,2.94263908897979,10.2645563333253,0.281329722163191,5.2288979358669,0.969102500120026
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","541",756,11.972619047619,1.1,35.2,5.66335642832248,13.6511808502751,0.0994451020671397,3.45024502688908,3.16482091963753,10.1499888250563,0.304065963967449,5.66048319118956,0.97432003894243
"Merch Stem Bark Volume","ST_BK_CV_MER","543",65,12.0753846153846,5,30.8,2.09711673989649,114.568332598645,-0.0500865671473503,37.3116434524907,1.34980866597753,65.9355046900827,0.119965315287768,2.08152523553808,0.906986348202826
"Merch Stem Wood Volume","ST_WD_CV_MER","543",71,11.8619718309859,5,30.8,5.08670125665175,19.0635323381157,-0.568617706623313,1.34290912784733,2.87862433901599,12.6089536164243,0.288072914885588,5.08265932119138,0.983386689643324
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","543",161,9.61304347826087,5,30.8,4.13077799371463,15.5166484050283,-0.426256503638816,-0.0893533016012305,1.99332787074917,10.8777103498693,0.244195991276317,4.1399321303339,0.984690341410934
"Stump Bark Volume","SP_BK_CV","543",88,9.64545454545454,1.4,30.8,0.12419798473942,1282.30426717543,0.0566074677516434,176.083103241771,0.0692573647388409,204.06969301244,0.00680981288512674,0.135846454290994,-0.440324770768062
"Stump Wood Volume","SP_WD_CV","543",115,9.52173913043478,1.4,30.8,0.544803088097304,32.3794486124732,0.10477630699223,7.61652737717081,0.264135889024139,26.0190696693766,0.0274035465085349,0.552455898027658,0.662230575651637
"Stump Wood+Bark Volume","SP_WDBK_CV","543",189,8.66772486772487,1.4,30.8,0.502759339265277,27.3191514018853,0.139450501678592,15.6972112656791,0.224991914678535,25.4899861981147,0.0273835596786452,0.520457495238563,0.645335706727247
"Total Stem Bark Volume","ST_BK_CV_TOT","543",89,9.58426966292135,1.4,30.8,1.80778795588983,106.597497070555,-0.00597732572510945,14.5536379330921,1.03073741891394,59.7929862928528,0.107141283843266,1.79761309173431,0.917803770246773
"Total Stem Wood Volume","ST_WD_CV_TOT","543",116,9.47586206896552,1.4,30.8,4.1027783255938,16.9782861130598,-0.219829993101309,1.16929287555143,2.02866657869156,12.6385122683901,0.236061641101306,4.09096626193662,0.985803467665256
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","543",190,8.64421052631579,1.4,30.8,3.79112312091159,13.7213063688886,-0.19691544362263,-0.610714629107335,1.69056093493132,9.81636487980653,0.222147242668793,3.78625736978875,0.986212510334715
"Sawlog Bark Volume","ST_BK_CV_SAW","543",33,16.2545454545455,11,30.8,2.7547835947552,74.7876398105985,-0.11769278264123,31.807045308531,2.00955775943793,56.0845635256881,0.138285738463338,2.71527523819253,0.891721508259536
"Sawlog Wood Volume","ST_WD_CV_SAW","543",38,15.85,11,30.8,7.11699036256859,25.747854146647,-1.87520799137721,-1.97190315154811,4.94288603371386,15.1859345268306,0.400642983192141,7.26877027134474,0.97502231475046
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","543",43,15.5093023255814,11,30.8,8.09367118430558,26.1677709709908,-2.05729533984138,-3.06280182026114,5.77185036029695,16.4964478718056,0.457640976715971,8.25933089387599,0.974073257589025
"Merch Stem Bark Volume","ST_BK_CV_MER","743",427,10.6426229508197,5,23.7,1.14433230961531,60.8037217828705,-5.424992476273e-05,20.4077034209656,0.816878986038611,41.7966745625664,0.0898257607309467,1.14299155788275,0.634537024514309
"Merch Stem Wood Volume","ST_WD_CV_MER","743",557,10.3215439856373,5,23.7,2.51545683356068,11.6112368664029,0.0364288328783443,0.620132092760093,1.52616680738553,8.25987074530663,0.190001799471949,2.51346178324631,0.970181189166337
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","743",474,10.4945147679325,5,23.7,2.74695617666552,10.4830105232929,-0.106196511139166,-0.345349639677078,1.65400269170304,7.60918670618927,0.201316280511531,2.74611117641435,0.973681313511363
"Stump Bark Volume","SP_BK_CV","743",474,9.93037974683544,1.3,23.7,0.0467619609745296,50.6983284006427,-0.014591688454323,2.23004217760808,0.0348756866350638,37.646242532817,0.00423083109405275,0.0489385851357482,0.555071223096011
"Stump Wood Volume","SP_WD_CV","743",705,10.0344680851064,1.3,23.7,0.229027526483593,16.7861747411739,-0.0595230056004588,-2.55184615916968,0.110514219887847,13.1374571130736,0.0177333526477377,0.236478738583861,0.810253620030795
"Stump Wood+Bark Volume","SP_WDBK_CV","743",524,9.82652671755725,1.3,23.7,0.164447716051908,14.3992468091815,-0.0526116115544028,-3.21307287945293,0.100764316946121,11.7693851032086,0.0133257884164345,0.172509200069114,0.913634988442255
"Total Stem Bark Volume","ST_BK_CV_TOT","743",476,9.93445378151261,1.3,23.7,1.13930952153347,59.2521020925667,-0.0155437132265698,19.3294803319932,0.787448436206921,40.1662272943484,0.0905992081004943,1.13821827744465,0.675528522743004
"Total Stem Wood Volume","ST_WD_CV_TOT","743",719,9.97635605006954,1.3,23.7,2.41524912857376,10.0942136542228,0.00368019069154928,0.778236288208801,1.44594948657145,7.36764319294127,0.18188432877755,2.41357176082466,0.97408662119021
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","743",526,9.83060836501901,1.3,23.7,2.57897553081684,9.28924418939945,-0.0903526467271214,0.307867210060986,1.47168771433493,6.67057663351088,0.187764955659821,2.57810660842437,0.978969578831433
"Sawlog Bark Volume","ST_BK_CV_SAW","743",195,13.4528205128205,11,23.7,1.28607765585209,59.2151581707888,-0.0962229033221603,12.9898324873749,0.978205572659969,38.39779798109,0.0894502632416838,1.28637963081893,0.480020359488428
"Sawlog Wood Volume","ST_WD_CV_SAW","743",249,13.2626506024096,11,23.7,4.07161770317999,16.917978947576,-1.00334758083459,-1.86062944002862,3.03448485045958,12.2949035092175,0.298449276220444,4.18547470324966,0.913200557428768
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","743",208,13.4538461538462,11,23.7,4.55181184547424,15.7525887702985,-1.27936470032356,-2.8879653979185,3.49010339097392,11.9129014785504,0.329655165865149,4.71764290499096,0.917122505958196
