"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Stump Bark Volume","SP_BK_CV","CA_Mixed_Conifer_Group",1963,14.2851757514009,1.1,57.3,0.206877850618255,NA,-0.10113569330916,Inf,0.15162555530047,Inf,0.0126563492293216,0.230228301838564,0.544013605857077
"Stump Wood+Bark Volume","SP_WDBK_CV","CA_Mixed_Conifer_Group",2029,14.3095120749138,1.1,57.3,0.425290618345717,17.5043998461573,-0.111126702510281,-3.95152313320838,0.262103998219598,14.0890683892336,0.0214723217954973,0.439467985852265,0.916023218297278
"Total Stem Bark Volume","ST_BK_CV_TOT","CA_Mixed_Conifer_Group",1978,14.2648634984833,1.1,57.3,4.03848160411805,49.700577160268,-0.0689604398211769,9.55642091699315,2.1349848828971,25.8701978205307,0.175603019593633,4.03804950975126,0.860591720680156
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","CA_Mixed_Conifer_Group",2044,14.2896771037182,1.1,57.3,9.10057832539502,11.0513682726861,-0.581595146939415,0.00646412433839951,4.61359389036442,8.41053339488319,0.386850085000786,9.11692162538028,0.979752734885805
"Foliage","FOL_DW","Southern_States",8426,7.10118680275338,1,37.9,10.8876417278872,152.358029136254,-0.0541191113569039,42.5107163700071,5.1308337702455,64.6892615137017,0.839372899947292,10.8871301464205,0.799733593025238
"Total Tree Wood+Bark+Foliage","TT_DW_ADJ","Western_WA",187,9.85133689839572,1.6,43.5,289.548600713625,17.9581177819359,68.0613582921843,5.96662831556134,148.420135224358,14.1576151677871,14.5033790723187,296.68570410419,0.980545977085437
"Total Tree Wood+Bark","TT_WDBK_DW_ADJ","Western_WA",127,12.7771653543307,3.3,43.5,335.364434632925,19.5745121554934,90.918122008801,5.11039799532729,206.262082283564,15.1445949173624,16.8415763991228,346.193333060115,0.979024899513478
"Foliage","FOL_DW","Western_WA",204,11.5892156862745,1.6,86.9,30.755429394793,83.1742824443906,3.35263336934835,37.1877914491693,15.0908179490446,51.4456149103843,1.26952682691804,30.8625961404076,0.92773964115676
"Top and Branches","BRT_WDBK_DW_MER","Western_WA",116,13.6008620689655,5,43.5,109.370858126511,46.1604304098674,-11.0777300824738,9.89162154157045,60.9571413370081,32.0741313342669,5.36844300222194,109.460404503865,0.80273524801901
"Merch Stem Bark Weight","ST_BK_DW_MER","Western_WA",100,15.01,5,43.5,108.484172416598,40.1433158627928,28.7660341415395,24.3504238159157,60.6071258867509,35.9147815430178,4.43608632230953,111.707708903626,0.884959165405783
"Merch Stem Wood Weight","ST_WD_DW_MER","Western_WA",100,15.01,5,43.5,297.114710918121,19.9530128797445,110.943146614292,10.432838025964,201.291208772704,15.7417847991515,15.2908033131421,315.757441258633,0.973756323282792
"Merch Stem Wood+Bark Weight","ST_WDBK_DW_MER","Western_WA",117,13.6717948717949,5,43.5,337.460112872612,20.6178727903903,118.602883901099,8.02640647970849,212.874745723617,15.6750830239134,16.6712179923017,356.332210530834,0.973256606214223
"Stump Wood+Bark Weight","SP_WDBK_DW","Western_WA",128,12.8484375,3.3,43.5,22.6613108332933,21.0269572283788,-7.13839401631446,-0.356355946555992,8.54625631259809,14.3833330220938,0.800779923337927,23.6744521702183,0.848857917124668
