"VAR2","VAR3","DIVISION","DIVISION_DESCRIPTION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2874,14.7707376478775,5,57.3,3.91563086702457,45.119630732038,0.0829279848305068,11.655487043522,2.10216167559695,26.6798436497578,0.173731210366058,3.91582779944425,0.844454649148065
"Merch Stem Wood Volume","ST_WD_CV_MER","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2874,14.7707376478775,5,57.3,8.51626809152156,13.3725314671071,-0.181049139341481,0.99676209322364,4.14146219523207,9.92139103791392,0.355296899546592,8.51671095547997,0.970655278698359
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2987,14.8006360897221,5,57.3,8.65399905805572,11.8524454734083,-0.17124731608447,1.0368864613388,4.43156542777169,8.88653766634708,0.374169314888564,8.65424478464125,0.977855286856578
"Sawlog Bark Volume","ST_BK_CV_SAW","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2380,16.367731092437,9,57.3,4.26070261817688,47.9857987642746,-0.00984541973636065,10.5874966767326,2.4481098790695,27.7605584792021,0.187063208109478,4.25981879606984,0.824048558430852
"Sawlog Wood Volume","ST_WD_CV_SAW","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2380,16.367731092437,9,57.3,9.44875299186742,14.5769568690237,-0.35655432144525,1.29054645325259,5.0332180197105,10.7485658918225,0.396696813934637,9.45349416505345,0.965653500512007
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","M260","MEDITERRANEAN_REGIME_MOUNTAINS",2470,16.415951417004,9,57.3,9.66208480971074,13.0363279868384,-0.452803266526996,0.732276699355573,5.42919009749983,9.65888306330545,0.421569953082608,9.6707351201563,0.973521782187722
"Stump Bark Volume","SP_BK_CV","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3011,14.272235137828,1.1,57.3,0.200481704176607,NA,-0.0937601588812198,Inf,0.146758455147395,Inf,0.0123402567416578,0.221292865701296,0.532694825282794
"Stump Wood+Bark Volume","SP_WDBK_CV","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3126,14.3117402431222,1.1,57.3,0.404517358309956,17.3462592893102,-0.113726154199649,-3.68017649885047,0.256403365963422,13.9724417369092,0.0213470435861524,0.420137578776386,0.913790912828811
"Total Stem Bark Volume","ST_BK_CV_TOT","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3026,14.2590218109716,1.1,57.3,3.92586118504886,47.1391576549586,0.00985099018436969,10.9849746908099,2.0896586863042,26.3980046434217,0.175462533280208,3.92522480456495,0.84962549555242
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3141,14.2988220312003,1.1,57.3,8.51759256200921,11.0034112212984,-0.219540031549114,0.734490371229564,4.26644312506817,8.29900899415425,0.3687893892627,8.51906587218877,0.97919141671742
"Foliage","FOL_DW","230","SUBTROPICAL_DIVISION",7011,6.8781486235915,1,37.9,10.3808570143745,153.500708972252,-0.0383284857886051,42.2726038910114,4.88007906045539,64.495080771199,0.816225973308224,10.3801874251075,0.804601262343923
"Total Tree Wood+Bark+Foliage","TT_DW_ADJ","240","MARINE_DIVISION",151,12.0423841059603,1.2,44.9,353.626510582074,21.4636622709055,-1.94753889077821,-0.0944767592785438,176.778949919491,15.7167805422825,15.9846762321864,352.458997446553,0.986364791858607
"Total Tree Wood+Bark","TT_WDBK_DW_ADJ","240","MARINE_DIVISION",102,15.0666666666667,3.6,44.9,420.913578931124,19.8996066960462,-19.8301518723541,1.87245295645646,241.37659105489,14.3837458272889,18.518166326865,419.314359774827,0.984615277291435
"Foliage","FOL_DW","240","MARINE_DIVISION",199,11.4869346733668,1,44.9,22.8708586347622,77.2498627364807,4.36637040281572,27.410398934727,12.0771149328674,45.4007007820872,1.18360317352984,23.2274157343204,0.866839175492986
"Top and Branches","BRT_WDBK_DW_MER","240","MARINE_DIVISION",100,15.295,5,44.9,108.64668878788,57.4486900527121,-0.90772392704354,14.8355290819866,73.9140076224718,38.4304106131459,5.30472621696373,108.10590139975,0.890498143763361
