"VAR2","VAR3","DCLASS","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Sawlog Wood Volume","ST_WD_CV_SAW",12,17270,11.906184134337,11,12.9,2.83910898842574,72.4013655890889,-0.731538796630581,-0.451636614267459,2.21621633196767,14.6955942844094,0.244489057054066,2.93176092521321,0.743481336831321
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW",12,18320,11.9074890829694,11,12.9,3.1443498677701,64.0329402078756,-0.779234194936757,-0.343594806238444,2.42852324295988,13.7856783115865,0.27044021795672,3.23938301866064,0.750164285133294
"Stump Bark Volume","SP_BK_CV",12,16921,11.9079841616926,11,12.9,0.0960547022653081,NA,-0.0085090006106578,Inf,0.0706465075068144,Inf,0.00806262955135033,0.0964280231526741,0.264063189010994
"Stump Wood Volume","SP_WD_CV",12,26735,11.912302225547,11,12.9,0.231518931395747,20.7622185962062,-0.00199371687956558,3.26196239616689,0.158851380001602,15.7264467152559,0.0192843084703634,0.231523185882316,0.43046913630515
"Stump Wood+Bark Volume","SP_WDBK_CV",12,18341,11.9073660105774,11,12.9,0.308165084736422,22.1902351817082,-0.0277212854956377,1.18100796595739,0.211811306347193,16.6411372846332,0.0257652799156174,0.309401052579105,0.343790804618679
"Total Stem Bark Volume","ST_BK_CV_TOT",12,16991,11.9080866341004,11,12.9,1.13129300828558,43.8364834650205,0.0100343166139603,10.3573367057542,0.836998056283497,25.6813861087082,0.0943423073791852,1.1313042183566,0.580480493208533
"Total Stem Wood Volume","ST_WD_CV_TOT",12,26818,11.9123238123648,11,12.9,2.43081955283254,11.2891537124061,-0.0222581872354576,1.06266687159829,1.84173741311064,8.40484111905847,0.202502877966574,2.43087613682426,0.843070842850395
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT",12,18411,11.9074629297702,11,12.9,2.61843910997646,10.5326524360878,-0.0948477221114995,0.633482695830928,1.93584462319305,7.73294135042366,0.218580712450874,2.62008531632807,0.823512940565151
"Merch Stem Bark Volume","ST_BK_CV_MER",6,24375,5.96884102564103,5,6.9,0.213404659030686,111.547440010988,-0.0154709360803384,12.1103823768134,0.152969963684037,31.3508265522277,0.0347386094093255,0.213960346765435,0.66916327456663
"Merch Stem Wood Volume","ST_WD_CV_MER",6,25210,5.96940103133677,5,6.9,0.521581621246637,20.6028265373803,-0.101213334233152,-0.937133116518925,0.391356314278849,14.7168253521365,0.0870305581742943,0.531300983812235,0.842912970360294
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER",6,27892,5.97027463071849,5,6.9,0.568234357533686,18.4971582657245,-0.115404925118945,-1.36574347222368,0.428666613952468,13.1942289792725,0.095155625221062,0.579824978226638,0.849042720233397
"Stump Bark Volume","SP_BK_CV",6,24333,5.9684625816792,5,6.9,0.0285016986041945,NA,-0.00461960003526231,Inf,0.020303189970849,Inf,0.00476315703426999,0.028873069515325,0.420467378643692
