"VAR2","VAR3","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Wood Volume","ST_WD_CV_MER","MN",4000,11.1473,5,38,3.57847076695948,17.3320384771616,0.120943664295222,2.70714466093475,1.93342931296822,9.65556942325103,0.211204123534677,3.58006690393619,0.978484427622665
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","MN",3840,11.1826302083333,5,38,4.01792257005047,13.8994196249222,-0.0821337162589541,1.52937373025419,2.14308334894434,8.84117438654315,0.231389791042551,4.01823887259861,0.98110283123246
"Sawlog Bark Volume","ST_BK_CV_SAW","MN",1991,14.2400301356102,9,38,1.68494758611174,50.2154083168382,-0.311215672125423,6.23574367097196,1.06071500540789,27.2864976367389,0.0943264839756943,1.71303170478604,0.895981781469056
"Sawlog Wood Volume","ST_WD_CV_SAW","MN",2164,14.0404343807763,9,38,5.00505579236011,24.6342368425544,-0.343399936983681,1.84512875425093,3.20594269643372,12.0088899880152,0.284753397486261,5.01566854428631,0.966010002619494
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","MN",2046,14.2120723362659,9,38,5.75952612768571,25.0309525528506,-0.633801346660246,1.14630455389695,3.74241639675246,11.7434026799659,0.324730152808995,5.79289497529286,0.968741169296421
"Stump Bark Volume","SP_BK_CV","MN",3870,10.8027390180879,1.1,38,0.109785743634399,NA,-0.0107138754430865,Inf,0.0600128053741447,Inf,0.00679659656814309,0.110293164726865,0.596101898853857
"Stump Wood Volume","SP_WD_CV","MN",5744,10.8923398328691,1.1,39,0.420183821910535,22.9116629088357,-0.0362944581954214,3.15090316740483,0.196219377239523,17.8009610089778,0.0236571448011573,0.421711980736521,0.850771891946167
"Stump Wood+Bark Volume","SP_WDBK_CV","MN",4108,10.6747078870497,1.1,38,0.43624693564326,21.965901341547,-0.0222259454607984,3.29535125413076,0.205558134369941,16.5787025369163,0.0243657713155446,0.436759721691487,0.87452500449348
"Total Stem Bark Volume","ST_BK_CV_TOT","MN",3887,10.7930280421919,1.1,38,1.36732763466629,48.4439256714621,-0.209817393097361,6.8971025363487,0.7691786375235,27.9042440057401,0.0862811855909037,1.38315842004984,0.914496819717121
"Total Stem Wood Volume","ST_WD_CV_TOT","MN",6074,10.619558775107,1.1,39,3.87329524073906,11.6127906305396,0.171535264926116,2.07835008889801,1.86211117885192,8.64250826722647,0.211636630273001,3.87677319803069,0.974282921699218
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","MN",4125,10.6660848484848,1.1,38,3.90319056793631,10.3437881728019,-0.0261863117218687,1.67284311324254,1.99585433006036,7.62187576043657,0.222848802605818,3.9028052762442,0.983018724831631
"Merch Stem Bark Volume","ST_BK_CV_MER","MI",2814,10.7656361051883,5,37.2,1.79875341411601,66.8587186482841,0.193243685781121,29.7562910388019,0.851226451375497,45.883239207262,0.0973380452388377,1.80878610542759,0.810132117049213
"Merch Stem Wood Volume","ST_WD_CV_MER","MI",3608,10.4405487804878,5,37.2,4.56098879297606,14.9583008416004,0.359799715374755,1.6647536207265,1.95239865615127,10.771076842934,0.229297202380557,4.5745282721034,0.968910643006937
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","MI",3232,10.4278774752475,5,37.2,5.20558843326829,15.2470723972869,0.464092002052078,2.00808105871595,2.11345668894048,10.4170482789415,0.258852978514237,5.22543280447337,0.970310783516315
"Sawlog Bark Volume","ST_BK_CV_SAW","MI",1394,14.1195839311334,9,37.2,2.41830757657581,69.8915158993529,0.189445351861271,27.4155796450188,1.2620520079724,44.3607906740611,0.117639862172645,2.4248517073355,0.77987990996081
"Sawlog Wood Volume","ST_WD_CV_SAW","MI",1708,13.83981264637,9,37.2,6.88799510134732,30.2582534775877,0.0211265679137785,1.80181730668142,3.69581752712181,14.3347396015166,0.335948552244471,6.88601082278421,0.952478294915532
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","MI",1451,14.097794624397,9,37.2,8.0472171555391,31.0200951829003,0.126876028575058,2.19721925435625,4.1489269672506,13.5575162037642,0.379590021423824,8.04544416229806,0.954798285011272
"Stump Bark Volume","SP_BK_CV","MI",2974,10.3655010087424,1.3,37.2,0.100580054049367,106.768294364096,-0.00581940144485114,24.4699740642274,0.0484084164349931,53.025443999226,0.00630345189705165,0.100731380956937,0.631900765671176
"Stump Wood Volume","SP_WD_CV","MI",4527,10.4976143141153,1.3,37.2,0.396527410914582,20.6075404805418,-0.0716157289781858,-1.46210826408015,0.174430509708449,15.8010512382688,0.0224037918732691,0.402899575269708,0.875266247590639
"Stump Wood+Bark Volume","SP_WDBK_CV","MI",3404,10.075,1.3,37.2,0.423985918310891,21.1381898593603,-0.062772376734933,0.460736112370743,0.181925745223571,16.0515803410566,0.0239843422585744,0.428545937507111,0.892525630293723
"Total Stem Bark Volume","ST_BK_CV_TOT","MI",2976,10.3606182795699,1.3,37.2,1.81940825304252,63.6550925778655,0.186014941840135,28.5818056043291,0.851091612055674,44.300707089374,0.0999865047340502,1.82858842713484,0.81278756464267
"Total Stem Wood Volume","ST_WD_CV_TOT","MI",4532,10.4912842012357,1.3,37.2,4.6175542521639,12.8108914992068,0.290876306780379,1.36683103987652,1.99759451313822,9.28379623248696,0.23228625238468,4.62619839327515,0.969284507462252
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","MI",3406,10.0709042865531,1.3,37.2,5.04551159365078,12.6992766826129,0.404972941649785,1.84302468543016,1.979455176526,8.65150366028369,0.250319200228612,5.06099951658934,0.973501776879852
"Merch Stem Bark Volume","ST_BK_CV_MER","MO",719,12.8168289290681,5,29.4,1.75285641226229,60.1812533686744,0.0563818372185834,17.9822062896979,1.16766569159311,40.9964549555315,0.112701192539823,1.75254421043836,0.478881287666562
"Merch Stem Wood Volume","ST_WD_CV_MER","MO",1264,11.5957278481013,5,38.7,3.92216244781742,12.3910736733585,-0.173794693177724,0.43929166372616,1.95593773537483,9.13626722408575,0.210884203558024,3.92446078895815,0.960803248966403
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","MO",963,11.7025960539979,5,29.4,3.15912923448633,12.2039557588185,-0.416507987855194,-0.228190908290423,1.95820246293924,8.97649452907236,0.207790928348062,3.18484110675974,0.974788096817555
"Sawlog Bark Volume","ST_BK_CV_SAW","MO",555,14.1023423423423,9,29.4,1.79746451751369,61.0033312153669,0.0280082987168818,17.2488782256673,1.23207224569389,41.1928666197009,0.110499808084817,1.79606284786184,0.349646946451003
"Sawlog Wood Volume","ST_WD_CV_SAW","MO",666,13.5324324324324,9,29.4,4.07930698912724,15.1054745011058,-1.36201098390267,-3.52031326078194,2.9804742078787,11.9180393012428,0.276564780285869,4.29777073928359,0.936007039375582
